bucket,count,date
1,0,2016-05-01-00
2,0,2016-05-01-00
3,0,2016-05-01-00
4,0,2016-05-01-00
5,0,2016-05-01-00
6,0,2016-05-01-00
7,0,2016-05-01-00
8,2,2016-05-01-00
9,1,2016-05-01-00
10,19,2016-05-01-00
20,48,2016-05-01-00
30,76,2016-05-01-00
40,61,2016-05-01-00
50,86,2016-05-01-00
60,52,2016-05-01-00
70,42,2016-05-01-00
80,32,2016-05-01-00
90,17,2016-05-01-00
100,195,2016-05-01-00
200,120,2016-05-01-00
300,119,2016-05-01-00
400,33,2016-05-01-00
500,14,2016-05-01-00
600,15,2016-05-01-00
700,10,2016-05-01-00
800,4,2016-05-01-00
900,5,2016-05-01-00
1000,33,2016-05-01-00
2000,14,2016-05-01-00
3000,2,2016-05-01-00
4000,1,2016-05-01-00
5000,1,2016-05-01-00
6000,1,2016-05-01-00
7000,1,2016-05-01-00
8000,0,2016-05-01-00
9000,0,2016-05-01-00
1,0,2016-05-01-01
2,0,2016-05-01-01
3,0,2016-05-01-01
4,0,2016-05-01-01
5,0,2016-05-01-01
6,0,2016-05-01-01
7,0,2016-05-01-01
8,2,2016-05-01-01
9,0,2016-05-01-01
10,13,2016-05-01-01
20,51,2016-05-01-01
30,81,2016-05-01-01
40,84,2016-05-01-01
50,78,2016-05-01-01
60,33,2016-05-01-01
70,39,2016-05-01-01
80,24,2016-05-01-01
90,26,2016-05-01-01
100,177,2016-05-01-01
200,106,2016-05-01-01
300,117,2016-05-01-01
400,36,2016-05-01-01
500,27,2016-05-01-01
600,13,2016-05-01-01
700,11,2016-05-01-01
800,6,2016-05-01-01
900,4,2016-05-01-01
1000,26,2016-05-01-01
2000,16,2016-05-01-01
3000,2,2016-05-01-01
4000,0,2016-05-01-01
5000,4,2016-05-01-01
6000,2,2016-05-01-01
7000,0,2016-05-01-01
8000,1,2016-05-01-01
9000,1,2016-05-01-01
1,0,2016-05-01-06
2,0,2016-05-01-06
3,0,2016-05-01-06
4,0,2016-05-01-06
5,0,2016-05-01-06
6,1,2016-05-01-06
7,1,2016-05-01-06
8,0,2016-05-01-06
9,1,2016-05-01-06
10,15,2016-05-01-06
20,28,2016-05-01-06
30,63,2016-05-01-06
40,45,2016-05-01-06
50,41,2016-05-01-06
60,26,2016-05-01-06
70,24,2016-05-01-06
80,18,2016-05-01-06
90,11,2016-05-01-06
100,220,2016-05-01-06
200,171,2016-05-01-06
300,172,2016-05-01-06
400,32,2016-05-01-06
500,21,2016-05-01-06
600,14,2016-05-01-06
700,12,2016-05-01-06
800,7,2016-05-01-06
900,3,2016-05-01-06
1000,26,2016-05-01-06
2000,10,2016-05-01-06
3000,2,2016-05-01-06
4000,1,2016-05-01-06
5000,0,2016-05-01-06
6000,2,2016-05-01-06
7000,0,2016-05-01-06
8000,0,2016-05-01-06
9000,1,2016-05-01-06
1,0,2016-05-01-10
2,0,2016-05-01-10
3,1,2016-05-01-10
4,0,2016-05-01-10
5,0,2016-05-01-10
6,0,2016-05-01-10
7,0,2016-05-01-10
8,0,2016-05-01-10
9,1,2016-05-01-10
10,30,2016-05-01-10
20,40,2016-05-01-10
30,58,2016-05-01-10
40,36,2016-05-01-10
50,37,2016-05-01-10
60,24,2016-05-01-10
70,23,2016-05-01-10
80,16,2016-05-01-10
90,19,2016-05-01-10
100,200,2016-05-01-10
200,152,2016-05-01-10
300,136,2016-05-01-10
400,43,2016-05-01-10
500,23,2016-05-01-10
600,12,2016-05-01-10
700,10,2016-05-01-10
800,7,2016-05-01-10
900,10,2016-05-01-10
1000,26,2016-05-01-10
2000,6,2016-05-01-10
3000,5,2016-05-01-10
4000,10,2016-05-01-10
5000,3,2016-05-01-10
6000,1,2016-05-01-10
7000,0,2016-05-01-10
8000,1,2016-05-01-10
9000,0,2016-05-01-10
1,0,2016-05-01-02
2,0,2016-05-01-02
3,0,2016-05-01-02
4,0,2016-05-01-02
5,0,2016-05-01-02
6,0,2016-05-01-02
7,0,2016-05-01-02
8,0,2016-05-01-02
9,1,2016-05-01-02
10,7,2016-05-01-02
20,49,2016-05-01-02
30,81,2016-05-01-02
40,53,2016-05-01-02
50,62,2016-05-01-02
60,51,2016-05-01-02
70,35,2016-05-01-02
80,28,2016-05-01-02
90,28,2016-05-01-02
100,205,2016-05-01-02
200,137,2016-05-01-02
300,124,2016-05-01-02
400,26,2016-05-01-02
500,15,2016-05-01-02
600,13,2016-05-01-02
700,8,2016-05-01-02
800,4,2016-05-01-02
900,9,2016-05-01-02
1000,20,2016-05-01-02
2000,10,2016-05-01-02
3000,7,2016-05-01-02
4000,2,2016-05-01-02
5000,5,2016-05-01-02
6000,1,2016-05-01-02
7000,1,2016-05-01-02
8000,3,2016-05-01-02
9000,0,2016-05-01-02
1,0,2016-05-01-04
2,0,2016-05-01-04
3,0,2016-05-01-04
4,0,2016-05-01-04
5,0,2016-05-01-04
6,0,2016-05-01-04
7,0,2016-05-01-04
8,0,2016-05-01-04
9,0,2016-05-01-04
10,16,2016-05-01-04
20,45,2016-05-01-04
30,83,2016-05-01-04
40,74,2016-05-01-04
50,60,2016-05-01-04
60,35,2016-05-01-04
70,40,2016-05-01-04
80,33,2016-05-01-04
90,22,2016-05-01-04
100,196,2016-05-01-04
200,124,2016-05-01-04
300,91,2016-05-01-04
400,36,2016-05-01-04
500,28,2016-05-01-04
600,13,2016-05-01-04
700,4,2016-05-01-04
800,4,2016-05-01-04
900,8,2016-05-01-04
1000,22,2016-05-01-04
2000,8,2016-05-01-04
3000,7,2016-05-01-04
4000,5,2016-05-01-04
5000,0,2016-05-01-04
6000,3,2016-05-01-04
7000,0,2016-05-01-04
8000,0,2016-05-01-04
9000,1,2016-05-01-04
1,0,2016-05-01-03
2,0,2016-05-01-03
3,0,2016-05-01-03
4,0,2016-05-01-03
5,0,2016-05-01-03
6,1,2016-05-01-03
7,0,2016-05-01-03
8,1,2016-05-01-03
9,0,2016-05-01-03
10,13,2016-05-01-03
20,50,2016-05-01-03
30,78,2016-05-01-03
40,67,2016-05-01-03
50,65,2016-05-01-03
60,42,2016-05-01-03
70,37,2016-05-01-03
80,25,2016-05-01-03
90,23,2016-05-01-03
100,202,2016-05-01-03
200,140,2016-05-01-03
300,101,2016-05-01-03
400,32,2016-05-01-03
500,16,2016-05-01-03
600,15,2016-05-01-03
700,9,2016-05-01-03
800,3,2016-05-01-03
900,2,2016-05-01-03
1000,26,2016-05-01-03
2000,7,2016-05-01-03
3000,2,2016-05-01-03
4000,3,2016-05-01-03
5000,0,2016-05-01-03
6000,4,2016-05-01-03
7000,1,2016-05-01-03
8000,0,2016-05-01-03
9000,0,2016-05-01-03
1,0,2016-05-02-01
2,0,2016-05-02-01
3,0,2016-05-02-01
4,0,2016-05-02-01
5,1,2016-05-02-01
6,1,2016-05-02-01
7,3,2016-05-02-01
8,4,2016-05-02-01
9,6,2016-05-02-01
10,147,2016-05-02-01
20,527,2016-05-02-01
30,855,2016-05-02-01
40,827,2016-05-02-01
50,730,2016-05-02-01
60,448,2016-05-02-01
70,371,2016-05-02-01
80,264,2016-05-02-01
90,256,2016-05-02-01
100,1831,2016-05-02-01
200,1282,2016-05-02-01
300,957,2016-05-02-01
400,304,2016-05-02-01
500,173,2016-05-02-01
600,101,2016-05-02-01
700,65,2016-05-02-01
800,51,2016-05-02-01
900,38,2016-05-02-01
1000,164,2016-05-02-01
2000,83,2016-05-02-01
3000,33,2016-05-02-01
4000,22,2016-05-02-01
5000,16,2016-05-02-01
6000,13,2016-05-02-01
7000,9,2016-05-02-01
8000,6,2016-05-02-01
9000,5,2016-05-02-01
1,0,2016-05-01-05
2,0,2016-05-01-05
3,0,2016-05-01-05
4,0,2016-05-01-05
5,1,2016-05-01-05
6,0,2016-05-01-05
7,1,2016-05-01-05
8,0,2016-05-01-05
9,0,2016-05-01-05
10,12,2016-05-01-05
20,43,2016-05-01-05
30,70,2016-05-01-05
40,54,2016-05-01-05
50,53,2016-05-01-05
60,44,2016-05-01-05
70,29,2016-05-01-05
80,21,2016-05-01-05
90,21,2016-05-01-05
100,194,2016-05-01-05
200,142,2016-05-01-05
300,127,2016-05-01-05
400,34,2016-05-01-05
500,19,2016-05-01-05
600,12,2016-05-01-05
700,12,2016-05-01-05
800,9,2016-05-01-05
900,4,2016-05-01-05
1000,22,2016-05-01-05
2000,13,2016-05-01-05
3000,4,2016-05-01-05
4000,0,2016-05-01-05
5000,1,2016-05-01-05
6000,2,2016-05-01-05
7000,0,2016-05-01-05
8000,0,2016-05-01-05
9000,0,2016-05-01-05
1,0,2016-05-01-07
2,0,2016-05-01-07
3,0,2016-05-01-07
4,0,2016-05-01-07
5,0,2016-05-01-07
6,0,2016-05-01-07
7,0,2016-05-01-07
8,0,2016-05-01-07
9,0,2016-05-01-07
10,36,2016-05-01-07
20,42,2016-05-01-07
30,60,2016-05-01-07
40,44,2016-05-01-07
50,34,2016-05-01-07
60,28,2016-05-01-07
70,21,2016-05-01-07
80,14,2016-05-01-07
90,18,2016-05-01-07
100,218,2016-05-01-07
200,169,2016-05-01-07
300,133,2016-05-01-07
400,47,2016-05-01-07
500,21,2016-05-01-07
600,12,2016-05-01-07
700,9,2016-05-01-07
800,4,2016-05-01-07
900,5,2016-05-01-07
1000,17,2016-05-01-07
2000,12,2016-05-01-07
3000,6,2016-05-01-07
4000,3,2016-05-01-07
5000,0,2016-05-01-07
6000,2,2016-05-01-07
7000,0,2016-05-01-07
8000,2,2016-05-01-07
9000,0,2016-05-01-07
1,0,2016-05-01-11
2,0,2016-05-01-11
3,0,2016-05-01-11
4,0,2016-05-01-11
5,0,2016-05-01-11
6,0,2016-05-01-11
7,0,2016-05-01-11
8,0,2016-05-01-11
9,0,2016-05-01-11
10,12,2016-05-01-11
20,36,2016-05-01-11
30,45,2016-05-01-11
40,54,2016-05-01-11
50,42,2016-05-01-11
60,42,2016-05-01-11
70,23,2016-05-01-11
80,22,2016-05-01-11
90,14,2016-05-01-11
100,230,2016-05-01-11
200,158,2016-05-01-11
300,125,2016-05-01-11
400,49,2016-05-01-11
500,21,2016-05-01-11
600,8,2016-05-01-11
700,17,2016-05-01-11
800,8,2016-05-01-11
900,12,2016-05-01-11
1000,30,2016-05-01-11
2000,12,2016-05-01-11
3000,5,2016-05-01-11
4000,4,2016-05-01-11
5000,0,2016-05-01-11
6000,2,2016-05-01-11
7000,0,2016-05-01-11
8000,0,2016-05-01-11
9000,0,2016-05-01-11
1,1,2016-05-02-03
2,0,2016-05-02-03
3,1,2016-05-02-03
4,1,2016-05-02-03
5,0,2016-05-02-03
6,1,2016-05-02-03
7,6,2016-05-02-03
8,4,2016-05-02-03
9,3,2016-05-02-03
10,119,2016-05-02-03
20,553,2016-05-02-03
30,807,2016-05-02-03
40,776,2016-05-02-03
50,692,2016-05-02-03
60,464,2016-05-02-03
70,351,2016-05-02-03
80,290,2016-05-02-03
90,207,2016-05-02-03
100,1922,2016-05-02-03
200,1227,2016-05-02-03
300,1048,2016-05-02-03
400,318,2016-05-02-03
500,178,2016-05-02-03
600,117,2016-05-02-03
700,78,2016-05-02-03
800,60,2016-05-02-03
900,50,2016-05-02-03
1000,197,2016-05-02-03
2000,89,2016-05-02-03
3000,36,2016-05-02-03
4000,28,2016-05-02-03
5000,14,2016-05-02-03
6000,8,2016-05-02-03
7000,4,2016-05-02-03
8000,3,2016-05-02-03
9000,5,2016-05-02-03
1,0,2016-05-01-09
2,0,2016-05-01-09
3,0,2016-05-01-09
4,0,2016-05-01-09
5,1,2016-05-01-09
6,0,2016-05-01-09
7,0,2016-05-01-09
8,0,2016-05-01-09
9,2,2016-05-01-09
10,32,2016-05-01-09
20,39,2016-05-01-09
30,40,2016-05-01-09
40,38,2016-05-01-09
50,36,2016-05-01-09
60,20,2016-05-01-09
70,28,2016-05-01-09
80,17,2016-05-01-09
90,13,2016-05-01-09
100,239,2016-05-01-09
200,199,2016-05-01-09
300,132,2016-05-01-09
400,38,2016-05-01-09
500,15,2016-05-01-09
600,15,2016-05-01-09
700,9,2016-05-01-09
800,9,2016-05-01-09
900,8,2016-05-01-09
1000,24,2016-05-01-09
2000,9,2016-05-01-09
3000,6,2016-05-01-09
4000,2,2016-05-01-09
5000,3,2016-05-01-09
6000,1,2016-05-01-09
7000,1,2016-05-01-09
8000,0,2016-05-01-09
9000,1,2016-05-01-09
1,0,2016-05-01-08
2,0,2016-05-01-08
3,0,2016-05-01-08
4,0,2016-05-01-08
5,0,2016-05-01-08
6,0,2016-05-01-08
7,2,2016-05-01-08
8,0,2016-05-01-08
9,0,2016-05-01-08
10,29,2016-05-01-08
20,40,2016-05-01-08
30,42,2016-05-01-08
40,37,2016-05-01-08
50,36,2016-05-01-08
60,26,2016-05-01-08
70,28,2016-05-01-08
80,16,2016-05-01-08
90,15,2016-05-01-08
100,237,2016-05-01-08
200,199,2016-05-01-08
300,133,2016-05-01-08
400,39,2016-05-01-08
500,29,2016-05-01-08
600,22,2016-05-01-08
700,8,2016-05-01-08
800,8,2016-05-01-08
900,6,2016-05-01-08
1000,25,2016-05-01-08
2000,13,2016-05-01-08
3000,3,2016-05-01-08
4000,3,2016-05-01-08
5000,0,2016-05-01-08
6000,0,2016-05-01-08
7000,0,2016-05-01-08
8000,1,2016-05-01-08
9000,0,2016-05-01-08
1,0,2016-05-02-06
2,0,2016-05-02-06
3,1,2016-05-02-06
4,0,2016-05-02-06
5,0,2016-05-02-06
6,1,2016-05-02-06
7,4,2016-05-02-06
8,2,2016-05-02-06
9,9,2016-05-02-06
10,170,2016-05-02-06
20,368,2016-05-02-06
30,482,2016-05-02-06
40,449,2016-05-02-06
50,406,2016-05-02-06
60,251,2016-05-02-06
70,237,2016-05-02-06
80,187,2016-05-02-06
90,177,2016-05-02-06
100,2142,2016-05-02-06
200,1618,2016-05-02-06
300,1269,2016-05-02-06
400,391,2016-05-02-06
500,206,2016-05-02-06
600,155,2016-05-02-06
700,89,2016-05-02-06
800,61,2016-05-02-06
900,64,2016-05-02-06
1000,235,2016-05-02-06
2000,107,2016-05-02-06
3000,31,2016-05-02-06
4000,22,2016-05-02-06
5000,23,2016-05-02-06
6000,13,2016-05-02-06
7000,13,2016-05-02-06
8000,1,2016-05-02-06
9000,6,2016-05-02-06
1,0,2016-05-01-18
2,0,2016-05-01-18
3,0,2016-05-01-18
4,0,2016-05-01-18
5,0,2016-05-01-18
6,0,2016-05-01-18
7,2,2016-05-01-18
8,1,2016-05-01-18
9,0,2016-05-01-18
10,31,2016-05-01-18
20,49,2016-05-01-18
30,66,2016-05-01-18
40,49,2016-05-01-18
50,53,2016-05-01-18
60,36,2016-05-01-18
70,33,2016-05-01-18
80,30,2016-05-01-18
90,19,2016-05-01-18
100,235,2016-05-01-18
200,166,2016-05-01-18
300,201,2016-05-01-18
400,38,2016-05-01-18
500,18,2016-05-01-18
600,20,2016-05-01-18
700,10,2016-05-01-18
800,11,2016-05-01-18
900,7,2016-05-01-18
1000,24,2016-05-01-18
2000,11,2016-05-01-18
3000,7,2016-05-01-18
4000,5,2016-05-01-18
5000,5,2016-05-01-18
6000,2,2016-05-01-18
7000,0,2016-05-01-18
8000,3,2016-05-01-18
9000,1,2016-05-01-18
1,0,2016-05-01-15
2,0,2016-05-01-15
3,0,2016-05-01-15
4,0,2016-05-01-15
5,0,2016-05-01-15
6,0,2016-05-01-15
7,0,2016-05-01-15
8,0,2016-05-01-15
9,0,2016-05-01-15
10,18,2016-05-01-15
20,48,2016-05-01-15
30,62,2016-05-01-15
40,65,2016-05-01-15
50,56,2016-05-01-15
60,40,2016-05-01-15
70,36,2016-05-01-15
80,25,2016-05-01-15
90,24,2016-05-01-15
100,235,2016-05-01-15
200,175,2016-05-01-15
300,181,2016-05-01-15
400,32,2016-05-01-15
500,26,2016-05-01-15
600,25,2016-05-01-15
700,10,2016-05-01-15
800,10,2016-05-01-15
900,4,2016-05-01-15
1000,31,2016-05-01-15
2000,11,2016-05-01-15
3000,3,2016-05-01-15
4000,3,2016-05-01-15
5000,3,2016-05-01-15
6000,4,2016-05-01-15
7000,2,2016-05-01-15
8000,0,2016-05-01-15
9000,0,2016-05-01-15
1,0,2016-05-01-16
2,0,2016-05-01-16
3,0,2016-05-01-16
4,0,2016-05-01-16
5,1,2016-05-01-16
6,0,2016-05-01-16
7,1,2016-05-01-16
8,1,2016-05-01-16
9,2,2016-05-01-16
10,24,2016-05-01-16
20,44,2016-05-01-16
30,74,2016-05-01-16
40,63,2016-05-01-16
50,53,2016-05-01-16
60,43,2016-05-01-16
70,40,2016-05-01-16
80,24,2016-05-01-16
90,17,2016-05-01-16
100,206,2016-05-01-16
200,156,2016-05-01-16
300,151,2016-05-01-16
400,34,2016-05-01-16
500,31,2016-05-01-16
600,17,2016-05-01-16
700,10,2016-05-01-16
800,13,2016-05-01-16
900,8,2016-05-01-16
1000,26,2016-05-01-16
2000,13,2016-05-01-16
3000,1,2016-05-01-16
4000,6,2016-05-01-16
5000,1,2016-05-01-16
6000,3,2016-05-01-16
7000,3,2016-05-01-16
8000,3,2016-05-01-16
9000,0,2016-05-01-16
1,0,2016-05-01-13
2,0,2016-05-01-13
3,0,2016-05-01-13
4,0,2016-05-01-13
5,0,2016-05-01-13
6,0,2016-05-01-13
7,0,2016-05-01-13
8,1,2016-05-01-13
9,0,2016-05-01-13
10,26,2016-05-01-13
20,51,2016-05-01-13
30,55,2016-05-01-13
40,47,2016-05-01-13
50,52,2016-05-01-13
60,37,2016-05-01-13
70,26,2016-05-01-13
80,22,2016-05-01-13
90,19,2016-05-01-13
100,236,2016-05-01-13
200,144,2016-05-01-13
300,152,2016-05-01-13
400,35,2016-05-01-13
500,16,2016-05-01-13
600,12,2016-05-01-13
700,15,2016-05-01-13
800,9,2016-05-01-13
900,6,2016-05-01-13
1000,27,2016-05-01-13
2000,9,2016-05-01-13
3000,5,2016-05-01-13
4000,4,2016-05-01-13
5000,6,2016-05-01-13
6000,1,2016-05-01-13
7000,1,2016-05-01-13
8000,0,2016-05-01-13
9000,1,2016-05-01-13
1,0,2016-05-01-12
2,0,2016-05-01-12
3,0,2016-05-01-12
4,0,2016-05-01-12
5,0,2016-05-01-12
6,0,2016-05-01-12
7,0,2016-05-01-12
8,0,2016-05-01-12
9,2,2016-05-01-12
10,27,2016-05-01-12
20,42,2016-05-01-12
30,59,2016-05-01-12
40,52,2016-05-01-12
50,52,2016-05-01-12
60,33,2016-05-01-12
70,22,2016-05-01-12
80,23,2016-05-01-12
90,14,2016-05-01-12
100,206,2016-05-01-12
200,171,2016-05-01-12
300,139,2016-05-01-12
400,39,2016-05-01-12
500,19,2016-05-01-12
600,17,2016-05-01-12
700,12,2016-05-01-12
800,6,2016-05-01-12
900,6,2016-05-01-12
1000,16,2016-05-01-12
2000,5,2016-05-01-12
3000,5,2016-05-01-12
4000,1,2016-05-01-12
5000,0,2016-05-01-12
6000,0,2016-05-01-12
7000,1,2016-05-01-12
8000,2,2016-05-01-12
9000,3,2016-05-01-12
1,0,2016-05-01-23
2,0,2016-05-01-23
3,0,2016-05-01-23
4,0,2016-05-01-23
5,0,2016-05-01-23
6,1,2016-05-01-23
7,0,2016-05-01-23
8,1,2016-05-01-23
9,2,2016-05-01-23
10,21,2016-05-01-23
20,61,2016-05-01-23
30,116,2016-05-01-23
40,86,2016-05-01-23
50,104,2016-05-01-23
60,69,2016-05-01-23
70,62,2016-05-01-23
80,54,2016-05-01-23
90,40,2016-05-01-23
100,326,2016-05-01-23
200,286,2016-05-01-23
300,296,2016-05-01-23
400,89,2016-05-01-23
500,44,2016-05-01-23
600,31,2016-05-01-23
700,21,2016-05-01-23
800,11,2016-05-01-23
900,10,2016-05-01-23
1000,39,2016-05-01-23
2000,20,2016-05-01-23
