date,bucket,count
2007-07,0,1
2007-07,1,62
2007-07,2,301
2007-07,3,532
2007-07,4,752
2007-07,5,1039
2007-07,6,1386
2007-07,7,1613
2007-07,8,1653
2007-07,9,1352
2007-07,10,1160
2007-07,11,793
2007-07,12,550
2007-07,13,400
2007-07,14,289
2007-07,15,240
2007-07,16,161
2007-07,17,115
2007-07,18,82
2007-07,19,67
2007-07,20,53
2007-07,21,41
2007-07,22,37
2007-07,23,28
2007-07,24,24
2007-07,25,15
2007-07,26,19
2007-07,27,16
2007-07,28,25
2007-07,29,13
2007-07,30,18
2007-07,31,12
2007-07,32,14
2007-07,33,9
2007-07,34,9
2007-07,35,14
2007-07,36,5
2007-07,37,13
2007-07,38,3
2007-07,39,6
2007-07,40,13
2007-07,41,8
2007-07,42,9
2007-07,43,5
2007-07,44,6
2007-07,45,8
2007-07,46,1
2007-07,47,7
2007-07,48,3
2007-07,49,4
2007-07,50,3
2007-07,51,3
2007-07,52,3
2007-07,53,1
2007-07,54,4
2007-07,56,1
2007-07,57,2
2007-07,58,9
2007-07,59,1
2007-07,60,2
2007-07,61,4
2007-07,62,4
2007-07,63,3
2007-07,64,2
2007-07,65,4
2007-07,66,3
2007-07,67,2
2007-07,69,1
2007-07,70,1
2007-07,72,1
2007-07,73,1
2007-07,74,1
2007-07,76,1
2007-07,77,1
2007-07,79,1
2007-07,80,2
2007-07,82,1
2007-07,83,1
2007-07,84,2
2007-07,85,1
2007-07,88,1
2007-07,91,1
2007-07,94,2
2007-07,95,1
2007-07,96,2
2007-07,97,1
2007-07,98,1
2007-07,100,43
2007-08,0,3
2007-08,1,81
2007-08,2,303
2007-08,3,643
2007-08,4,904
2007-08,5,1054
2007-08,6,1118
2007-08,7,987
2007-08,8,746
2007-08,9,567
2007-08,10,516
2007-08,11,470
2007-08,12,517
2007-08,13,603
2007-08,14,655
2007-08,15,530
2007-08,16,392
2007-08,17,293
2007-08,18,182
2007-08,19,146
2007-08,20,106
2007-08,21,80
2007-08,22,60
2007-08,23,45
2007-08,24,32
2007-08,25,28
2007-08,26,28
2007-08,27,21
2007-08,28,25
2007-08,29,23
2007-08,30,16
2007-08,31,16
2007-08,32,11
2007-08,33,10
2007-08,34,9
2007-08,35,12
2007-08,36,9
2007-08,37,10
2007-08,38,5
2007-08,39,8
2007-08,40,4
2007-08,41,3
2007-08,42,8
2007-08,43,3
2007-08,44,4
2007-08,45,2
2007-08,46,7
2007-08,47,6
2007-08,48,1
2007-08,49,3
2007-08,50,1
2007-08,54,2
2007-08,55,1
2007-08,56,2
2007-08,57,2
2007-08,58,1
2007-08,59,4
2007-08,60,3
2007-08,61,2
2007-08,63,1
2007-08,64,1
2007-08,65,3
2007-08,66,1
2007-08,67,2
2007-08,68,2
2007-08,70,2
2007-08,71,1
2007-08,75,1
2007-08,80,1
2007-08,81,1
2007-08,83,1
2007-08,85,2
2007-08,88,1
2007-08,91,1
2007-08,95,1
2007-08,98,1
2007-08,100,4
2007-09,0,1
2007-09,1,36
2007-09,2,246
2007-09,3,445
2007-09,4,692
2007-09,5,730
2007-09,6,645
2007-09,7,460
2007-09,8,332
2007-09,9,273
2007-09,10,234
2007-09,11,220
2007-09,12,325
2007-09,13,464
2007-09,14,497
2007-09,15,410
2007-09,16,272
2007-09,17,167
2007-09,18,107
2007-09,19,95
2007-09,20,57
2007-09,21,53
2007-09,22,39
2007-09,23,21
2007-09,24,28
2007-09,25,17
2007-09,26,19
2007-09,27,12
2007-09,28,11
2007-09,29,8
2007-09,30,8
2007-09,31,6
2007-09,32,7
2007-09,33,3
2007-09,34,5
2007-09,35,5
2007-09,36,4
2007-09,37,9
2007-09,38,6
2007-09,39,2
2007-09,40,3
2007-09,41,4
2007-09,42,4
2007-09,43,4
2007-09,44,1
2007-09,45,2
2007-09,46,2
2007-09,47,1
2007-09,49,1
2007-09,51,2
2007-09,52,1
2007-09,54,2
2007-09,55,1
2007-09,56,1
2007-09,58,1
2007-09,60,1
2007-09,64,1
2007-09,65,2
2007-09,69,1
2007-09,73,1
2007-09,77,1
2007-09,78,1
2007-09,79,2
2007-09,81,1
2007-09,89,1
2007-09,95,1
2007-09,100,3
2007-10,0,2
2007-10,1,51
2007-10,2,252
2007-10,3,654
2007-10,4,882
2007-10,5,850
2007-10,6,766
2007-10,7,819
2007-10,8,1038
2007-10,9,1034
2007-10,10,813
2007-10,11,866
2007-10,12,1118
2007-10,13,1205
2007-10,14,1142
2007-10,15,1031
2007-10,16,785
2007-10,17,573
2007-10,18,392
2007-10,19,312
2007-10,20,216
2007-10,21,206
2007-10,22,158
2007-10,23,110
2007-10,24,63
2007-10,25,76
2007-10,26,62
2007-10,27,45
2007-10,28,34
2007-10,29,34
2007-10,30,21
2007-10,31,24
2007-10,32,16
2007-10,33,20
2007-10,34,17
2007-10,35,11
2007-10,36,13
2007-10,37,15
2007-10,38,20
2007-10,39,9
2007-10,40,7
2007-10,41,11
2007-10,42,9
2007-10,43,13
2007-10,44,7
2007-10,45,8
2007-10,46,7
2007-10,47,10
2007-10,48,5
2007-10,49,5
2007-10,50,3
2007-10,51,5
2007-10,52,6
2007-10,53,3
2007-10,54,6
2007-10,55,5
2007-10,56,4
2007-10,57,5
2007-10,58,5
2007-10,59,5
2007-10,60,5
2007-10,61,2
2007-10,63,1
2007-10,64,2
2007-10,65,1
2007-10,66,1
2007-10,67,3
2007-10,68,2
2007-10,70,1
2007-10,72,1
2007-10,74,2
2007-10,76,3
2007-10,77,1
2007-10,78,3
2007-10,79,1
2007-10,80,1
2007-10,82,2
2007-10,87,2
2007-10,88,1
2007-10,91,1
2007-10,93,1
2007-10,95,1
2007-10,96,1
2007-10,100,146
2007-11,0,2
2007-11,1,37
2007-11,2,183
2007-11,3,608
2007-11,4,764
2007-11,5,824
2007-11,6,933
2007-11,7,1129
2007-11,8,1184
2007-11,9,928
2007-11,10,631
2007-11,11,533
2007-11,12,560
2007-11,13,550
2007-11,14,531
2007-11,15,401
2007-11,16,259
2007-11,17,177
2007-11,18,128
2007-11,19,82
2007-11,20,68
2007-11,21,42
2007-11,22,33
2007-11,23,44
2007-11,24,23
2007-11,25,27
2007-11,26,25
2007-11,27,15
2007-11,28,17
2007-11,29,17
2007-11,30,18
2007-11,31,10
